product_id;product_code;product_name;brand_id;category_id;colour_id;size_id;price;gender_id;active
1;42907748;Trail Skort;2;7;1;1;-99.99;2;true
2;10928082;Trail Skort;2;7;1;2;;2;true
3;73164924;;2;7;1;3;229.26;2;true
4;BAD_CODE;Trail Skort;2;7;1;4;229.26;2;true
5;59041465;Trail Skort;-1;7;1;5;229.26;2;true
6;80892629;Trail Skort;2;7;2;1;229.26;2;true
7;49252087;   TRAIL SKORT   ;2;7;2;2;229.26;2;true
8;93325372;Trail Skort;2;7;2;3;229.26;2;true
9;51445160;Trail Skort;2;7;2;4;229.26;2;true
10;68076596;Trail Skort;2;7;2;5;229.26;2;T
11;94250241;Trail Skort;2;7;3;1;229.26;2;true
12;10020580;   TRAIL SKORT   ;2;7;3;2;229.26;2;true
13;31988194;Trail Skort;2;7;3;3;229.26;2;true
14;99637730;Trail Skort;2;7;3;4;229.26;2;true
15;79564495;Trail Skort;2;7;3;5;229.26;2;true
16;94918197;Trail Skort;2;7;4;1;229.26;2;true
17;85799872;   TRAIL SKORT   ;2;7;4;2;229.26;2;true
18;67365925;   TRAIL SKORT   ;2;7;4;3;229.26;2;true
19;37508088;Trail Skort;2;7;4;4;229.26;2;true
20;16097022;Trail Skort;2;7;4;5;229.26;2;true
21;INVALID_CODE;Trail Skort;2;7;5;1;229.26;2;true
22;77820421;Trail Skort;2;7;5;2;229.26;2;true
23;21900776;Trail Skort;2;7;5;3;229.26;2;true
24;37701549;Trail Skort;2;7;5;4;229.26;2;true
25;76245462;Trail Skort;2;7;5;5;229.26;2;true
26;10433113;Trail Skort;2;7;6;1;229.26;2;true
27;45467018;Trail Skort;2;7;6;2;229.26;2;F
28;24899615;Trail Skort;2;7;6;3;229.26;2;true
29;43372561;Trail Skort;2;7;6;4;229.26;2;true
30;26244404;Trail Skort;2;7;6;5;229.26;2;true
31;90335226;Trail Skort;2;7;7;1;229.26;2;true
32;85102161;   TRAIL SKORT   ;2;7;7;2;229.26;2;true
33;72127432;Trail Skort;2;7;7;3;229.26;2;true
34;94585558;Trail Skort;2;7;7;4;229.26;2;true
35;81436995;Trail Skort;2;7;7;5;229.26;2;true
36;74376996;Trail Skort;2;7;8;1;229.26;2;true
37;52704463;Trail Skort;2;7;8;2;229.26;2;true
38;69214791;Trail Skort;2;7;8;3;229.26;2;true
39;82523391;Trail Skort;2;7;8;4;229.26;2;true
40;45561477;Trail Skort;2;7;8;5;229.26;2;true
41;37802862;Trail Skort;2;7;9;1;229.26;2;true
42;82642923;Trail Skort;2;7;9;2;229.26;2;true
43;63344273;Trail Skort;2;7;9;3;229.26;2;true
44;92912925;Trail Skort;2;7;9;4;229.26;2;true
