order_id;source_event_id;store_id;order_price;order_date
1;242fa140-b0f8-4bf3-81df-491ac0be9db7;2;101.16;2024-03-19 14:05:02+00
2;e0059a45-4f8b-4789-a607-d1b2255d5abe;1;398.69;2024-03-19 15:13:23+00
3;8e253956-7ca3-4863-9fb5-a066dbaf7b81;1;452.06;2024-03-20 13:41:08+00
4;c88e06bb-5ba3-4d07-95e2-0f3570535421;1;47.81;2024-03-20 13:27:50+00
5;35272afe-4f23-4265-ad5e-cccf6cce7ec3;1;444.12;2024-03-20 12:06:19+00
6;4869258a-afb0-44e3-af79-a43a5a9587fb;2;310.65;2024-03-21 16:57:56+00
7;eaffd081-c1a0-4b91-8a8c-10f1926b6411;1;145.27;2024-03-22 11:04:34+00
8;6fa8c332-3635-42b8-a244-771ef16d87c5;2;297.32;2024-03-22 12:57:21+00
9;8fecaa7b-d0a9-4707-b8bd-56347958ddc7;2;413.96;2024-03-22 09:31:29+00
10;c171721d-a53e-4d66-b377-a6629a5cf482;1;169.04;2024-03-23 10:45:28+00
11;fe72cb58-7340-4e1b-be68-c9f81574c03e;1;529.79;2024-03-24 15:32:14+00
12;1681b945-6a2f-43a2-a368-873050d74d1d;2;785.24;2024-03-24 16:52:05+00
13;998f7782-05ef-4cc8-8c9e-c59ca61143f4;2;336.86;2024-03-25 09:22:36+00
14;2e0d09f8-1ca5-4cb7-bdbc-9164cc45fa95;1;261.38;2024-03-25 12:02:39+00
15;d97a8f2d-842a-44cc-a86a-13afb29576cc;2;413.56;2024-03-26 10:54:08+00
16;40a1af21-cbaa-4753-839b-edb4807058ea;2;156.9;2024-03-26 10:00:51+00
17;7a3821cf-2352-4898-8d90-ba4a5a93950d;1;659.76;2024-03-26 13:22:11+00
18;477b3729-9b12-46a5-977b-02adf7bc9002;1;414.05;2024-03-27 14:55:46+00
19;ef9253d4-d631-4d0f-9098-8a0eb0452c4f;2;729.85;2024-03-27 09:56:13+00
20;660ded4c-438b-4b25-a06c-bcd891d7e3e6;2;373.19;2024-03-27 13:25:05+00
21;89aadff4-2c9f-4cd0-989f-77d82065845f;2;34.2;2024-03-28 10:27:40+00
22;61af2f73-4f67-4fa5-997c-2aa17e6c5027;1;577.45;2024-03-29 10:34:02+00
23;6cc02635-c102-4aac-a5ca-f687fb14b613;2;781.32;2024-03-29 10:17:51+00
24;c5f8b4bf-5b8b-4925-bd3c-60b2a3c5a104;2;321.68;2024-03-29 16:47:17+00
25;53ddaf28-cd46-4035-8d9d-16f76bcad05b;1;338.12;2024-03-30 14:27:58+00
26;e34818b3-a7eb-4c61-b0da-5a174cff2330;2;393.04;2024-03-30 10:10:09+00
27;feaf7baf-d772-4c1a-9c79-dbe262c40cb8;1;827.47;2024-03-30 12:54:13+00
28;201432a2-ba49-4299-b537-ad0cef5b3722;2;1024.25;2024-03-31 16:51:30+00
29;0d8add7f-be40-4b9b-9df7-24f01d5e7282;1;357.51;2024-04-01 14:43:39+00
30;381f51f8-9024-463d-b175-b792ab5cf56f;1;332.6;2024-04-01 12:19:22+00
31;bea89af3-d83e-4da8-942b-dc735a51f8f6;2;989.85;2024-04-01 10:24:52+00
32;97543e42-ea22-4893-bf03-529b9c21ef70;1;767.6;2024-04-02 13:46:32+00
33;e464a6e6-5deb-421e-8d23-961d053e1baf;2;267.2;2024-04-02 15:54:33+00
34;4302c649-f1a1-45ff-a3f0-693c7d873d75;1;566.64;2024-04-03 17:54:27+00
35;a2b82d11-28d4-4e4a-87e5-1b2edaf40361;2;737.27;2024-04-03 16:33:08+00
36;9138b994-5b87-4cc0-bfcd-48fdbbea15d0;1;261.38;2024-04-04 12:04:30+00
37;19c2c594-b0b4-4994-98d7-112c0122e7a6;2;540.4;2024-04-05 12:28:10+00
